team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
ari,2015/06/01/atlmlb-arimlb-1,1,7,2,0,0,9,0,1,0,1,1,8,0,7,0,0,No-Talent Ass Clowns,Dr. Watson,
atl,2015/06/01/atlmlb-arimlb-1,8,13,3,0,1,19,3,1,1,0,1,1,1,5,0,0,Damnedest of the Nice,Damnedest of the Nice,
hou,2015/06/01/balmlb-houmlb-1,5,9,1,0,1,13,4,1,0,1,1,2,0,8,1,1,Portlandia Misfits,Paly Players,
bal,2015/06/01/balmlb-houmlb-1,2,7,1,1,0,10,2,0,0,0,0,5,1,10,0,0,Damnedest of the Nice,,
mia,2015/06/01/chnmlb-miamlb-1,1,6,1,0,0,7,1,1,0,0,0,5,1,7,0,0,The Rube,Buena Vista Bottoms,
chn,2015/06/01/chnmlb-miamlb-1,5,8,2,0,1,13,4,0,0,0,0,1,1,13,0,1,Detroit Noojies (aka dbags),Portlandia Misfits,
col,2015/06/01/lanmlb-colmlb-1,4,9,0,0,1,12,1,0,0,0,0,11,0,6,0,0,Portlandia Misfits,,
lan,2015/06/01/lanmlb-colmlb-1,11,18,3,1,4,35,5,0,0,0,0,4,1,10,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/01/milmlb-slnmlb-1,0,8,0,0,0,8,3,1,0,0,0,1,1,4,0,0,Paly Players,No-Talent Ass Clowns,
mil,2015/06/01/milmlb-slnmlb-1,1,6,0,0,0,6,0,0,0,0,0,0,1,11,1,3,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
sea,2015/06/01/nyamlb-seamlb-1,2,8,1,1,0,11,2,0,0,0,0,7,0,8,0,0,,The Rube,
nya,2015/06/01/nyamlb-seamlb-1,7,7,1,0,1,11,5,0,0,1,1,2,1,13,0,0,,Portlandia Misfits,
sdn,2015/06/01/nynmlb-sdnmlb-1,0,2,0,0,0,2,0,0,0,0,0,7,0,16,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/01/nynmlb-sdnmlb-1,7,13,3,1,1,21,1,1,0,0,0,0,1,9,0,0,,Dr. Watson,
sfn,2015/06/01/pitmlb-sfnmlb-1,3,6,2,0,0,8,2,1,0,0,0,4,1,7,0,0,Portlandia Misfits,Portlandia Misfits,
pit,2015/06/01/pitmlb-sfnmlb-1,4,6,4,0,0,10,2,0,0,2,2,3,1,10,1,1,Paly Players,The Rube,
ana,2015/06/01/tbamlb-anamlb-1,7,11,0,0,4,23,5,1,1,0,1,3,1,6,0,3,,No-Talent Ass Clowns,
tba,2015/06/01/tbamlb-anamlb-1,3,6,1,0,1,10,3,0,0,0,0,7,0,6,0,0,Dr. Watson,Damnedest of the Nice,
was,2015/06/01/tormlb-wasmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/01/tormlb-wasmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buena Vista Bottoms,,
ari,2015/06/02/atlmlb-arimlb-1,7,9,1,0,1,13,10,2,1,0,1,6,0,5,1,1,No-Talent Ass Clowns,Dr. Watson,
atl,2015/06/02/atlmlb-arimlb-1,6,10,4,0,0,14,2,1,0,0,0,7,0,4,0,1,Damnedest of the Nice,Damnedest of the Nice,
hou,2015/06/02/balmlb-houmlb-1,6,9,1,0,2,16,3,0,0,0,0,4,0,9,1,1,Portlandia Misfits,Paly Players,
bal,2015/06/02/balmlb-houmlb-1,4,7,0,1,0,9,2,0,0,0,0,6,0,9,0,0,Damnedest of the Nice,,
tex,2015/06/02/chamlb-texmlb-1,15,19,1,1,3,31,4,0,0,0,0,2,1,6,0,0,Damnedest of the Nice,Paly Players,
cha,2015/06/02/chamlb-texmlb-1,2,7,0,0,1,10,0,1,0,0,0,15,0,5,0,0,,No-Talent Ass Clowns,
mia,2015/06/02/chnmlb-miamlb-1,5,8,2,0,1,13,2,0,0,0,0,2,1,7,1,2,The Rube,Buena Vista Bottoms,
chn,2015/06/02/chnmlb-miamlb-1,2,8,4,0,0,12,3,0,0,0,0,5,0,7,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
phi,2015/06/02/cinmlb-phimlb-1,5,9,4,0,2,19,0,0,1,0,1,4,0,5,0,0,,,
cin,2015/06/02/cinmlb-phimlb-1,4,10,4,0,0,14,2,1,2,0,2,5,1,5,0,1,Detroit Noojies (aka dbags),The Rube,
kca,2015/06/02/clemlb-kcamlb-1,1,5,1,0,0,6,2,0,0,0,0,2,0,4,0,0,Paly Players,Paly Players,
cle,2015/06/02/clemlb-kcamlb-1,2,6,2,0,1,11,3,1,0,0,0,1,1,12,1,3,Dr. Watson,Detroit Noojies (aka dbags),
col,2015/06/02/lanmlb-colmlb-1,6,12,3,0,2,21,2,1,0,0,0,3,1,9,1,2,Portlandia Misfits,,
lan,2015/06/02/lanmlb-colmlb-1,3,5,1,0,1,9,4,0,0,0,0,6,0,3,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
col,2015/06/02/lanmlb-colmlb-2,8,15,3,0,1,21,2,0,1,1,2,9,0,7,0,2,Portlandia Misfits,,
lan,2015/06/02/lanmlb-colmlb-2,9,13,0,1,4,27,3,1,0,0,0,8,0,5,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/02/milmlb-slnmlb-1,1,4,1,0,0,5,2,0,0,0,0,0,1,5,1,1,Paly Players,No-Talent Ass Clowns,
mil,2015/06/02/milmlb-slnmlb-1,0,7,0,0,0,7,1,0,1,0,1,1,1,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
bos,2015/06/02/minmlb-bosmlb-1,1,7,2,0,0,9,2,1,0,0,0,0,1,9,1,0,Dr. Watson,,
min,2015/06/02/minmlb-bosmlb-1,0,3,0,0,0,3,3,1,0,0,0,1,1,2,0,0,Buena Vista Bottoms,,
sea,2015/06/02/nyamlb-seamlb-1,3,14,2,0,0,16,3,1,0,0,0,5,1,8,0,3,,The Rube,
nya,2015/06/02/nyamlb-seamlb-1,5,14,4,0,1,21,4,0,0,0,0,3,0,13,1,0,,Portlandia Misfits,
sdn,2015/06/02/nynmlb-sdnmlb-1,7,14,1,2,1,22,2,1,1,0,1,2,1,12,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/02/nynmlb-sdnmlb-1,2,8,1,0,0,9,2,0,0,0,0,7,0,13,0,0,,Dr. Watson,
det,2015/06/02/oakmlb-detmlb-1,3,8,1,0,0,9,2,0,1,0,1,5,0,9,0,0,Buena Vista Bottoms,Damnedest of the Nice,
oak,2015/06/02/oakmlb-detmlb-1,5,7,0,0,1,10,5,0,0,0,0,3,1,5,1,1,The Rube,Buena Vista Bottoms,
sfn,2015/06/02/pitmlb-sfnmlb-1,4,11,3,0,1,17,3,0,0,0,0,7,0,10,0,0,Portlandia Misfits,Portlandia Misfits,
pit,2015/06/02/pitmlb-sfnmlb-1,7,14,2,1,1,21,4,0,0,0,0,4,0,8,1,2,Paly Players,The Rube,
ana,2015/06/02/tbamlb-anamlb-1,1,6,1,0,1,10,1,0,0,0,0,6,0,10,0,0,,No-Talent Ass Clowns,
tba,2015/06/02/tbamlb-anamlb-1,6,6,0,0,1,9,4,1,0,0,0,1,1,15,0,0,Dr. Watson,Damnedest of the Nice,
was,2015/06/02/tormlb-wasmlb-1,2,9,0,0,0,9,2,1,1,1,2,0,1,5,1,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/02/tormlb-wasmlb-1,0,6,0,0,0,6,1,0,1,0,1,2,1,7,0,0,Buena Vista Bottoms,,
was,2015/06/02/tormlb-wasmlb-2,3,6,3,0,0,9,2,0,0,1,1,7,0,9,0,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/02/tormlb-wasmlb-2,7,10,1,0,2,17,4,2,0,1,1,3,1,9,0,0,Buena Vista Bottoms,,
ari,2015/06/03/atlmlb-arimlb-1,9,12,4,0,1,19,4,1,0,1,1,8,0,12,1,1,No-Talent Ass Clowns,Dr. Watson,
atl,2015/06/03/atlmlb-arimlb-1,8,13,2,0,3,24,2,0,1,0,1,9,0,7,0,2,Damnedest of the Nice,Damnedest of the Nice,
hou,2015/06/03/balmlb-houmlb-1,3,4,0,0,3,13,0,0,0,0,0,1,1,11,0,0,Portlandia Misfits,Paly Players,
bal,2015/06/03/balmlb-houmlb-1,1,4,1,1,0,7,0,0,0,0,0,3,1,10,0,0,Damnedest of the Nice,,
tex,2015/06/03/chamlb-texmlb-1,2,6,1,0,1,10,4,0,0,0,0,9,0,8,0,0,Damnedest of the Nice,Paly Players,
cha,2015/06/03/chamlb-texmlb-1,9,12,3,0,2,21,6,1,0,0,0,2,1,16,0,0,,No-Talent Ass Clowns,
mia,2015/06/03/chnmlb-miamlb-1,7,14,3,0,2,23,2,0,0,0,0,3,0,8,0,1,The Rube,Buena Vista Bottoms,
chn,2015/06/03/chnmlb-miamlb-1,3,8,1,1,1,14,4,1,0,0,0,7,0,6,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
phi,2015/06/03/cinmlb-phimlb-1,5,7,1,0,1,11,4,0,0,1,1,4,1,12,0,0,,,
cin,2015/06/03/cinmlb-phimlb-1,4,9,3,0,1,15,7,3,1,0,1,5,1,10,0,0,Detroit Noojies (aka dbags),The Rube,
kca,2015/06/03/clemlb-kcamlb-1,4,9,4,0,0,13,1,0,0,0,0,2,1,4,1,2,Paly Players,Paly Players,
cle,2015/06/03/clemlb-kcamlb-1,2,10,2,0,0,12,0,0,0,0,0,4,0,9,0,0,Dr. Watson,Detroit Noojies (aka dbags),
col,2015/06/03/lanmlb-colmlb-1,7,10,2,0,1,15,6,2,0,1,1,6,1,7,0,1,Portlandia Misfits,,
lan,2015/06/03/lanmlb-colmlb-1,6,11,3,0,1,17,5,0,0,0,0,7,0,6,0,1,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/03/milmlb-slnmlb-1,7,10,1,0,0,11,2,0,0,2,2,4,1,5,1,0,Paly Players,No-Talent Ass Clowns,
mil,2015/06/03/milmlb-slnmlb-1,4,14,2,0,1,19,1,0,0,0,0,7,0,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
bos,2015/06/03/minmlb-bosmlb-1,6,13,2,0,1,18,2,3,1,0,1,3,1,7,0,0,Dr. Watson,,
min,2015/06/03/minmlb-bosmlb-1,3,5,0,0,2,11,3,0,0,0,0,6,0,5,0,0,Buena Vista Bottoms,,
bos,2015/06/03/minmlb-bosmlb-2,0,2,1,0,0,3,0,0,0,0,0,2,1,6,0,0,Dr. Watson,,
min,2015/06/03/minmlb-bosmlb-2,2,5,2,0,0,7,0,1,1,0,1,0,1,11,1,1,Buena Vista Bottoms,,
sea,2015/06/03/nyamlb-seamlb-1,1,5,1,1,0,8,1,0,0,0,0,3,1,7,0,0,,The Rube,
nya,2015/06/03/nyamlb-seamlb-1,3,5,1,0,2,12,1,0,0,0,0,1,1,13,1,1,,Portlandia Misfits,
sdn,2015/06/03/nynmlb-sdnmlb-1,7,10,0,0,0,10,1,1,1,1,2,3,1,6,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/03/nynmlb-sdnmlb-1,3,9,3,0,0,12,3,0,0,0,0,7,0,5,0,0,,Dr. Watson,
det,2015/06/03/oakmlb-detmlb-1,1,4,1,0,0,5,1,0,0,0,0,6,0,1,0,0,Buena Vista Bottoms,Damnedest of the Nice,
oak,2015/06/03/oakmlb-detmlb-1,6,7,3,1,1,15,5,0,0,1,1,1,1,8,0,0,The Rube,Buena Vista Bottoms,
sfn,2015/06/03/pitmlb-sfnmlb-1,2,9,1,0,0,10,1,0,0,0,0,5,1,9,0,0,Portlandia Misfits,Portlandia Misfits,
pit,2015/06/03/pitmlb-sfnmlb-1,5,11,2,0,1,16,1,2,0,0,0,2,1,6,1,1,Paly Players,The Rube,
ana,2015/06/03/tbamlb-anamlb-1,5,11,2,0,2,19,6,0,2,1,3,6,0,7,0,0,,No-Talent Ass Clowns,
tba,2015/06/03/tbamlb-anamlb-1,6,8,0,0,3,17,2,2,0,0,0,5,0,9,1,4,Dr. Watson,Damnedest of the Nice,
was,2015/06/03/tormlb-wasmlb-1,0,6,1,0,0,7,1,0,0,0,0,8,0,6,0,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/03/tormlb-wasmlb-1,8,13,3,0,1,19,1,0,1,0,1,0,1,2,0,0,Buena Vista Bottoms,,
hou,2015/06/04/balmlb-houmlb-1,2,5,2,0,1,10,4,1,0,1,1,3,1,10,0,0,Portlandia Misfits,Paly Players,
bal,2015/06/04/balmlb-houmlb-1,3,8,0,0,1,11,2,1,0,0,0,2,1,14,1,0,Damnedest of the Nice,,
tex,2015/06/04/chamlb-texmlb-1,2,12,1,0,0,13,6,2,1,0,1,1,1,7,0,0,Damnedest of the Nice,Paly Players,
cha,2015/06/04/chamlb-texmlb-1,1,6,0,0,0,6,2,1,0,1,1,2,1,13,0,0,,No-Talent Ass Clowns,
was,2015/06/04/chnmlb-wasmlb-1,1,8,2,0,0,10,3,1,0,0,0,2,1,10,0,0,The Rube,Detroit Noojies (aka dbags),
chn,2015/06/04/chnmlb-wasmlb-1,2,6,0,0,0,6,4,1,0,0,0,1,1,9,1,4,Detroit Noojies (aka dbags),Portlandia Misfits,
phi,2015/06/04/cinmlb-phimlb-1,4,7,3,1,0,12,2,1,0,1,1,6,0,5,0,0,,,
cin,2015/06/04/cinmlb-phimlb-1,6,6,2,0,0,8,6,1,2,0,2,4,0,5,1,1,Detroit Noojies (aka dbags),The Rube,
kca,2015/06/04/clemlb-kcamlb-1,2,4,0,0,1,7,5,1,0,0,0,6,0,6,0,0,Paly Players,Paly Players,
cle,2015/06/04/clemlb-kcamlb-1,6,10,3,0,1,16,3,2,1,0,1,2,1,6,0,1,Dr. Watson,Detroit Noojies (aka dbags),
bos,2015/06/04/minmlb-bosmlb-1,4,12,1,0,2,19,1,0,0,0,0,8,1,7,0,0,Dr. Watson,,
min,2015/06/04/minmlb-bosmlb-1,8,11,1,0,1,15,4,1,0,1,1,4,0,1,0,0,Buena Vista Bottoms,,
ari,2015/06/04/nynmlb-arimlb-1,2,8,0,0,2,14,2,0,0,0,0,6,0,9,0,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/04/nynmlb-arimlb-1,6,14,5,0,1,22,1,0,0,1,1,2,1,11,1,1,,Dr. Watson,
det,2015/06/04/oakmlb-detmlb-1,5,9,1,0,1,13,1,0,0,0,0,7,0,6,0,0,Buena Vista Bottoms,Damnedest of the Nice,
oak,2015/06/04/oakmlb-detmlb-1,7,10,2,1,0,14,4,1,0,0,0,5,1,6,1,0,The Rube,Buena Vista Bottoms,
lan,2015/06/04/slnmlb-lanmlb-1,1,9,2,0,0,11,0,0,1,1,2,7,1,7,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/04/slnmlb-lanmlb-1,7,12,3,0,0,15,5,0,1,1,2,1,1,7,0,0,Paly Players,No-Talent Ass Clowns,
sea,2015/06/04/tbamlb-seamlb-1,1,10,2,0,0,12,2,0,1,0,1,2,1,8,0,0,,The Rube,
tba,2015/06/04/tbamlb-seamlb-1,2,6,1,0,0,7,1,3,0,0,0,1,0,9,1,3,Dr. Watson,Damnedest of the Nice,
nya,2015/06/05/anamlb-nyamlb-1,8,14,2,1,3,27,2,1,0,1,1,7,0,9,1,1,,Portlandia Misfits,
ana,2015/06/05/anamlb-nyamlb-1,7,9,2,0,0,11,9,0,0,0,0,8,0,3,0,0,,No-Talent Ass Clowns,
cle,2015/06/05/balmlb-clemlb-1,2,7,1,0,0,8,4,0,0,0,0,5,1,7,0,0,Dr. Watson,Detroit Noojies (aka dbags),
bal,2015/06/05/balmlb-clemlb-1,5,11,1,1,1,17,1,0,0,1,1,2,1,6,1,1,Damnedest of the Nice,,
was,2015/06/05/chnmlb-wasmlb-1,7,12,5,0,1,20,3,0,0,1,1,5,0,11,1,3,The Rube,Detroit Noojies (aka dbags),
chn,2015/06/05/chnmlb-wasmlb-1,5,9,1,0,3,19,0,0,0,0,0,7,0,6,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cha,2015/06/05/detmlb-chamlb-1,4,7,1,0,2,14,2,0,1,0,1,3,1,11,0,0,,No-Talent Ass Clowns,
det,2015/06/05/detmlb-chamlb-1,3,9,1,1,0,12,2,0,1,0,1,4,1,5,0,2,Buena Vista Bottoms,Damnedest of the Nice,
tor,2015/06/05/houmlb-tormlb-1,6,9,2,0,2,17,4,0,0,0,0,2,1,6,0,0,Buena Vista Bottoms,,
hou,2015/06/05/houmlb-tormlb-1,2,6,0,0,1,9,0,1,0,0,0,6,0,3,0,0,Portlandia Misfits,Paly Players,
col,2015/06/05/miamlb-colmlb-1,2,12,0,0,0,12,1,1,0,1,1,6,0,6,0,0,Portlandia Misfits,,
mia,2015/06/05/miamlb-colmlb-1,6,12,1,1,1,18,2,0,2,0,2,2,1,7,1,0,The Rube,Buena Vista Bottoms,
min,2015/06/05/milmlb-minmlb-1,5,10,0,0,1,13,1,0,0,0,0,10,0,11,0,0,Buena Vista Bottoms,,
mil,2015/06/05/milmlb-minmlb-1,10,12,2,0,3,23,1,0,1,0,1,5,0,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
ari,2015/06/05/nynmlb-arimlb-1,7,9,3,1,0,14,4,3,1,1,2,2,1,10,0,2,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/05/nynmlb-arimlb-1,2,6,1,0,1,10,3,0,0,0,0,7,1,10,0,0,,Dr. Watson,
bos,2015/06/05/oakmlb-bosmlb-1,4,11,3,0,0,14,1,1,0,1,1,2,1,8,1,1,Dr. Watson,,
oak,2015/06/05/oakmlb-bosmlb-1,2,8,1,0,1,12,1,0,0,0,0,4,0,7,0,0,The Rube,Buena Vista Bottoms,
atl,2015/06/05/pitmlb-atlmlb-1,8,14,2,0,0,16,5,1,0,0,0,10,0,8,0,0,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/05/pitmlb-atlmlb-1,10,13,1,0,2,20,5,2,0,0,0,8,0,6,1,3,Paly Players,The Rube,
cin,2015/06/05/sdnmlb-cinmlb-1,2,6,1,0,0,7,4,0,0,0,0,6,0,5,0,0,Detroit Noojies (aka dbags),The Rube,
sdn,2015/06/05/sdnmlb-cinmlb-1,6,9,1,0,3,19,3,0,0,1,1,2,0,9,0,1,No-Talent Ass Clowns,Dr. Watson,
phi,2015/06/05/sfnmlb-phimlb-1,4,6,1,0,2,13,4,1,0,0,0,5,0,7,0,0,,,
sfn,2015/06/05/sfnmlb-phimlb-1,5,12,2,0,3,23,1,1,0,0,0,4,0,7,1,3,Portlandia Misfits,Portlandia Misfits,
lan,2015/06/05/slnmlb-lanmlb-1,1,4,0,0,0,4,4,0,0,0,0,2,1,5,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/05/slnmlb-lanmlb-1,2,5,0,0,0,5,3,0,1,1,2,1,1,14,1,2,Paly Players,No-Talent Ass Clowns,
sea,2015/06/05/tbamlb-seamlb-1,0,7,0,1,0,9,3,0,0,0,0,1,1,6,0,0,,The Rube,
tba,2015/06/05/tbamlb-seamlb-1,1,7,2,0,1,12,1,0,0,0,0,0,0,8,1,0,Dr. Watson,Damnedest of the Nice,
kca,2015/06/05/texmlb-kcamlb-1,0,3,0,0,0,3,2,0,0,0,0,4,0,10,0,0,Paly Players,Paly Players,
tex,2015/06/05/texmlb-kcamlb-1,4,7,0,1,1,12,3,4,1,0,1,0,1,2,0,0,Damnedest of the Nice,Paly Players,
nya,2015/06/06/anamlb-nyamlb-1,8,11,2,0,1,16,5,1,0,1,1,2,1,5,0,0,,Portlandia Misfits,
ana,2015/06/06/anamlb-nyamlb-1,2,5,2,0,1,10,3,0,0,1,1,8,0,6,0,0,,No-Talent Ass Clowns,
cle,2015/06/06/balmlb-clemlb-1,2,7,2,0,0,9,8,1,1,0,1,1,1,12,1,1,Dr. Watson,Detroit Noojies (aka dbags),
bal,2015/06/06/balmlb-clemlb-1,1,6,1,0,1,10,2,0,1,0,1,2,0,9,0,0,Damnedest of the Nice,,
was,2015/06/06/chnmlb-wasmlb-1,2,5,1,0,2,12,3,0,0,0,0,4,0,8,0,0,The Rube,Detroit Noojies (aka dbags),
chn,2015/06/06/chnmlb-wasmlb-1,4,7,1,0,0,8,2,0,0,0,0,2,1,9,1,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cha,2015/06/06/detmlb-chamlb-1,1,5,2,0,0,7,2,0,0,0,0,7,0,4,0,0,,No-Talent Ass Clowns,
det,2015/06/06/detmlb-chamlb-1,7,18,3,0,1,24,2,1,0,0,0,1,1,11,0,0,Buena Vista Bottoms,Damnedest of the Nice,
tor,2015/06/06/houmlb-tormlb-1,7,10,4,0,0,14,5,5,2,1,3,2,1,10,0,1,Buena Vista Bottoms,,
hou,2015/06/06/houmlb-tormlb-1,2,8,0,0,1,11,1,0,0,0,0,7,0,7,0,0,Portlandia Misfits,Paly Players,
col,2015/06/06/miamlb-colmlb-1,10,17,1,2,3,31,2,0,0,0,0,5,1,8,0,0,Portlandia Misfits,,
mia,2015/06/06/miamlb-colmlb-1,5,13,3,2,0,20,2,0,0,0,0,10,0,5,0,0,The Rube,Buena Vista Bottoms,
min,2015/06/06/milmlb-minmlb-1,2,7,2,0,1,12,1,0,2,0,2,4,0,7,0,0,Buena Vista Bottoms,,
mil,2015/06/06/milmlb-minmlb-1,4,10,1,0,1,14,4,1,1,0,1,2,1,5,1,1,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
ari,2015/06/06/nynmlb-arimlb-1,2,6,0,0,1,9,2,0,0,0,0,1,0,8,1,1,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/06/nynmlb-arimlb-1,1,10,0,0,1,13,2,0,0,0,0,2,1,8,0,0,,Dr. Watson,
bos,2015/06/06/oakmlb-bosmlb-1,4,11,3,0,1,17,6,1,0,0,0,2,1,10,1,3,Dr. Watson,,
oak,2015/06/06/oakmlb-bosmlb-1,2,5,1,1,1,11,4,0,0,0,0,4,0,8,0,0,The Rube,Buena Vista Bottoms,
atl,2015/06/06/pitmlb-atlmlb-1,5,9,0,0,2,15,2,2,1,1,2,4,0,6,0,0,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/06/pitmlb-atlmlb-1,4,6,0,0,1,9,0,0,0,0,0,5,0,5,0,0,Paly Players,The Rube,
cin,2015/06/06/sdnmlb-cinmlb-1,7,11,3,1,1,19,6,0,2,0,2,9,1,10,0,0,Detroit Noojies (aka dbags),The Rube,
sdn,2015/06/06/sdnmlb-cinmlb-1,9,10,2,0,2,18,8,0,0,0,0,7,0,6,1,1,No-Talent Ass Clowns,Dr. Watson,
phi,2015/06/06/sfnmlb-phimlb-1,5,6,0,0,2,12,1,0,0,0,0,7,0,10,0,0,,,
sfn,2015/06/06/sfnmlb-phimlb-1,7,12,1,0,0,13,3,0,0,1,1,5,0,13,1,0,Portlandia Misfits,Portlandia Misfits,
lan,2015/06/06/slnmlb-lanmlb-1,2,7,2,0,0,9,0,0,1,0,1,0,1,12,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/06/slnmlb-lanmlb-1,0,1,0,0,0,1,2,0,0,0,0,2,1,6,0,0,Paly Players,No-Talent Ass Clowns,
sea,2015/06/06/tbamlb-seamlb-1,2,9,2,0,1,14,4,0,0,0,0,1,1,8,1,1,,The Rube,
