team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
cin,2015/06/13/cinmlb-chnmlb-1,3,9,1,0,2,16,1,1,0,0,0,4,0,2,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/13/clemlb-detmlb-1,4,12,2,1,1,19,2,1,0,0,0,5,0,4,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cle,2015/06/13/clemlb-detmlb-1,5,8,1,1,1,14,5,0,0,2,2,4,0,12,1,2,Dr. Watson,Detroit Noojies (aka dbags),
mia,2015/06/13/colmlb-miamlb-1,4,4,1,0,1,8,4,2,0,0,0,1,1,15,1,2,The Rube,Buena Vista Bottoms,
col,2015/06/13/colmlb-miamlb-1,1,5,1,1,0,8,2,2,0,0,0,4,0,6,0,0,Portlandia Misfits,,
sln,2015/06/13/kcamlb-slnmlb-1,3,10,0,1,1,15,2,1,1,0,1,2,0,10,1,4,Paly Players,No-Talent Ass Clowns,
kca,2015/06/13/kcamlb-slnmlb-1,2,5,1,0,2,12,2,1,1,0,1,3,0,7,0,0,Paly Players,Paly Players,
sdn,2015/06/13/lanmlb-sdnmlb-1,2,8,1,0,1,12,1,1,0,0,0,1,1,6,1,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/13/lanmlb-sdnmlb-1,1,5,0,0,1,8,1,0,0,0,0,2,1,7,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/13/minmlb-texmlb-1,11,15,5,0,2,26,5,0,0,0,0,7,1,7,0,0,Damnedest of the Nice,Paly Players,
min,2015/06/13/minmlb-texmlb-1,7,9,7,0,0,16,2,0,0,0,0,11,0,2,0,0,Buena Vista Bottoms,,
bal,2015/06/13/nyamlb-balmlb-1,9,15,3,1,3,29,0,0,0,0,0,4,0,9,0,0,Damnedest of the Nice,,
nya,2015/06/13/nyamlb-balmlb-1,4,11,5,0,1,19,2,0,0,0,0,9,0,4,0,0,,Portlandia Misfits,
ana,2015/06/13/oakmlb-anamlb-1,1,8,0,0,1,11,0,0,0,0,0,0,1,10,1,1,,No-Talent Ass Clowns,
oak,2015/06/13/oakmlb-anamlb-1,0,2,1,0,0,3,4,0,0,0,0,1,1,7,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/13/phimlb-pitmlb-1,4,8,1,0,0,9,4,1,1,0,1,3,1,8,1,2,Paly Players,The Rube,
phi,2015/06/13/phimlb-pitmlb-1,3,9,3,0,0,12,1,2,0,1,1,4,0,3,0,0,,,
hou,2015/06/13/seamlb-houmlb-1,1,6,3,0,0,9,5,0,0,0,0,8,0,7,0,0,Portlandia Misfits,Paly Players,
sea,2015/06/13/seamlb-houmlb-1,8,13,3,0,2,22,2,0,0,1,1,1,1,7,0,0,,The Rube,
bos,2015/06/13/tormlb-bosmlb-1,4,9,2,0,1,14,1,0,0,0,0,5,0,9,0,0,Dr. Watson,,
tor,2015/06/13/tormlb-bosmlb-1,5,12,0,0,1,15,1,0,0,0,0,4,1,10,1,0,Buena Vista Bottoms,,
mil,2015/06/13/wasmlb-milmlb-1,2,8,2,0,0,10,1,0,0,0,0,7,0,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
was,2015/06/13/wasmlb-milmlb-1,7,11,1,0,2,18,2,1,0,0,0,2,1,8,0,0,The Rube,Detroit Noojies (aka dbags),
sfn,2015/06/14/arimlb-sfnmlb-1,0,8,1,0,0,9,3,0,0,0,0,4,0,11,0,0,Portlandia Misfits,Portlandia Misfits,
ari,2015/06/14/arimlb-sfnmlb-1,4,8,2,0,0,10,5,2,0,1,1,0,1,7,1,0,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/14/atlmlb-nynmlb-1,10,14,2,0,4,28,4,1,0,0,0,8,0,7,1,2,,Dr. Watson,
atl,2015/06/14/atlmlb-nynmlb-1,8,14,3,0,1,20,3,1,0,0,0,10,0,9,0,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/14/chamlb-tbamlb-1,2,5,0,0,1,8,3,2,0,0,0,1,1,10,1,1,Dr. Watson,Damnedest of the Nice,
cha,2015/06/14/chamlb-tbamlb-1,1,8,2,0,0,10,1,1,0,0,0,2,1,13,0,0,,No-Talent Ass Clowns,
chn,2015/06/14/cinmlb-chnmlb-1,2,8,4,0,0,12,2,0,1,1,2,1,1,7,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/14/cinmlb-chnmlb-1,1,7,4,0,0,11,4,5,0,0,0,2,1,10,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/14/clemlb-detmlb-1,8,10,1,0,2,17,2,1,0,0,0,1,0,7,0,1,Buena Vista Bottoms,Damnedest of the Nice,
cle,2015/06/14/clemlb-detmlb-1,1,8,0,0,1,11,1,0,0,0,0,8,0,5,0,0,Dr. Watson,Detroit Noojies (aka dbags),
mia,2015/06/14/colmlb-miamlb-1,1,5,1,0,0,6,5,1,1,0,1,4,1,9,0,0,The Rube,Buena Vista Bottoms,
col,2015/06/14/colmlb-miamlb-1,4,5,1,0,2,12,5,1,0,0,0,1,1,8,1,2,Portlandia Misfits,,
sln,2015/06/14/kcamlb-slnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paly Players,No-Talent Ass Clowns,
kca,2015/06/14/kcamlb-slnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paly Players,Paly Players,
sdn,2015/06/14/lanmlb-sdnmlb-1,2,11,0,0,0,11,4,1,1,0,1,4,1,12,0,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/14/lanmlb-sdnmlb-1,4,10,3,1,1,18,7,0,1,0,1,2,0,15,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/14/minmlb-texmlb-1,3,9,2,0,2,17,2,0,0,0,0,4,1,7,0,0,Damnedest of the Nice,Paly Players,
min,2015/06/14/minmlb-texmlb-1,4,11,4,4,1,26,3,0,0,0,0,3,1,6,1,0,Buena Vista Bottoms,,
bal,2015/06/14/nyamlb-balmlb-1,3,6,1,0,0,7,5,0,0,0,0,5,0,7,0,0,Damnedest of the Nice,,
nya,2015/06/14/nyamlb-balmlb-1,5,10,3,0,0,13,4,0,0,1,1,3,0,10,1,1,,Portlandia Misfits,
ana,2015/06/14/oakmlb-anamlb-1,1,5,0,0,0,5,1,0,0,0,0,8,0,9,0,0,,No-Talent Ass Clowns,
oak,2015/06/14/oakmlb-anamlb-1,8,12,4,0,0,16,1,2,0,0,0,1,1,10,0,0,The Rube,Buena Vista Bottoms,
pit,2015/06/14/phimlb-pitmlb-1,1,9,1,0,0,10,3,1,1,0,1,0,1,4,0,0,Paly Players,The Rube,
phi,2015/06/14/phimlb-pitmlb-1,0,6,1,0,0,7,1,2,0,0,0,1,1,17,0,0,,,
hou,2015/06/14/seamlb-houmlb-1,13,14,3,0,2,23,7,0,0,0,0,0,0,10,0,0,Portlandia Misfits,Paly Players,
sea,2015/06/14/seamlb-houmlb-1,0,2,1,0,0,3,5,0,0,0,0,13,0,8,0,0,,The Rube,
bos,2015/06/14/tormlb-bosmlb-1,5,8,0,1,1,13,6,0,0,0,0,13,0,4,0,0,Dr. Watson,,
tor,2015/06/14/tormlb-bosmlb-1,13,16,3,0,2,25,4,1,0,0,0,5,0,6,0,0,Buena Vista Bottoms,,
mil,2015/06/14/wasmlb-milmlb-1,0,1,0,0,0,1,1,0,0,0,0,4,0,9,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
was,2015/06/14/wasmlb-milmlb-1,4,10,1,0,0,11,2,1,0,1,1,0,1,16,0,0,The Rube,Detroit Noojies (aka dbags),
ana,2015/06/15/arimlb-anamlb-1,3,4,1,0,0,5,4,0,0,0,0,7,0,7,0,0,,No-Talent Ass Clowns,
ari,2015/06/15/arimlb-anamlb-1,7,11,3,0,2,20,4,1,1,1,2,3,1,3,1,0,No-Talent Ass Clowns,Dr. Watson,
bos,2015/06/15/atlmlb-bosmlb-1,2,10,2,0,1,15,2,0,0,0,0,4,0,7,0,0,Dr. Watson,,
atl,2015/06/15/atlmlb-bosmlb-1,4,9,0,0,0,9,1,1,0,0,0,2,1,5,1,2,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/15/chamlb-pitmlb-1,11,18,5,1,0,25,3,2,0,0,0,0,1,13,0,0,Paly Players,The Rube,
cha,2015/06/15/chamlb-pitmlb-1,0,2,0,0,0,2,1,0,0,0,0,11,0,6,0,0,,No-Talent Ass Clowns,
det,2015/06/15/cinmlb-detmlb-1,6,11,3,0,1,17,3,2,0,0,0,0,1,7,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cin,2015/06/15/cinmlb-detmlb-1,0,2,0,0,0,2,0,1,0,0,0,6,0,5,0,0,Detroit Noojies (aka dbags),The Rube,
chn,2015/06/15/clemlb-chnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cle,2015/06/15/clemlb-chnmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dr. Watson,Detroit Noojies (aka dbags),
hou,2015/06/15/colmlb-houmlb-1,6,9,0,0,3,18,3,0,0,0,0,3,1,5,1,2,Portlandia Misfits,Paly Players,
col,2015/06/15/colmlb-houmlb-1,3,5,1,0,0,6,2,0,0,0,0,6,0,9,0,0,Portlandia Misfits,,
mil,2015/06/15/kcamlb-milmlb-1,5,11,4,0,0,15,4,0,0,0,0,8,0,3,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
kca,2015/06/15/kcamlb-milmlb-1,8,13,2,0,1,18,3,0,0,1,1,5,0,7,1,0,Paly Players,Paly Players,
tex,2015/06/15/lanmlb-texmlb-1,4,6,0,0,0,6,3,1,1,0,1,1,1,6,1,0,Damnedest of the Nice,Paly Players,
lan,2015/06/15/lanmlb-texmlb-1,1,7,1,0,1,11,4,0,0,0,0,4,0,5,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/15/minmlb-slnmlb-1,3,9,0,1,2,17,2,0,1,0,1,2,1,7,1,0,Paly Players,No-Talent Ass Clowns,
min,2015/06/15/minmlb-slnmlb-1,2,5,2,1,0,9,1,0,0,1,1,3,0,6,0,0,Buena Vista Bottoms,,
mia,2015/06/15/nyamlb-miamlb-1,2,10,2,0,1,15,1,0,0,0,0,1,1,10,1,1,The Rube,Buena Vista Bottoms,
nya,2015/06/15/nyamlb-miamlb-1,1,3,1,0,1,7,3,0,0,0,0,2,1,8,0,0,,Portlandia Misfits,
sdn,2015/06/15/oakmlb-sdnmlb-1,1,5,1,0,0,6,3,1,1,0,1,9,0,10,0,0,No-Talent Ass Clowns,Dr. Watson,
oak,2015/06/15/oakmlb-sdnmlb-1,9,13,1,0,1,17,7,1,0,0,0,1,1,7,0,1,The Rube,Buena Vista Bottoms,
bal,2015/06/15/phimlb-balmlb-1,4,5,1,0,1,9,3,1,0,0,0,0,1,11,0,0,Damnedest of the Nice,,
phi,2015/06/15/phimlb-balmlb-1,0,4,1,0,0,5,1,0,0,0,0,4,0,5,0,0,,,
sfn,2015/06/15/seamlb-sfnmlb-1,1,7,1,0,0,8,0,0,0,0,0,5,0,8,0,0,Portlandia Misfits,Portlandia Misfits,
sea,2015/06/15/seamlb-sfnmlb-1,5,12,0,0,1,15,1,1,0,0,0,1,1,9,0,1,,The Rube,
nyn,2015/06/15/tormlb-nynmlb-1,4,6,3,0,0,9,2,0,1,0,1,3,1,14,0,2,,Dr. Watson,
tor,2015/06/15/tormlb-nynmlb-1,3,5,1,0,2,12,5,0,0,1,1,4,1,8,0,0,Buena Vista Bottoms,,
tba,2015/06/15/wasmlb-tbamlb-1,6,11,2,1,0,15,7,3,0,3,3,1,1,6,0,0,Dr. Watson,Damnedest of the Nice,
was,2015/06/15/wasmlb-tbamlb-1,1,8,1,0,0,9,5,1,0,0,0,6,0,4,0,0,The Rube,Detroit Noojies (aka dbags),
ana,2015/06/16/arimlb-anamlb-1,4,8,0,0,2,14,2,0,0,0,0,1,1,6,1,1,,No-Talent Ass Clowns,
ari,2015/06/16/arimlb-anamlb-1,1,5,0,0,0,5,3,0,0,1,1,4,1,7,0,0,No-Talent Ass Clowns,Dr. Watson,
bos,2015/06/16/atlmlb-bosmlb-1,9,18,5,3,1,32,1,0,0,0,0,4,1,11,0,1,Dr. Watson,,
atl,2015/06/16/atlmlb-bosmlb-1,4,10,4,0,0,14,2,0,0,0,0,9,0,3,0,0,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/16/chamlb-pitmlb-1,3,10,0,0,2,16,3,3,0,0,0,0,1,3,1,1,Paly Players,The Rube,
cha,2015/06/16/chamlb-pitmlb-1,0,4,0,0,0,4,2,1,0,0,0,3,1,8,0,0,,No-Talent Ass Clowns,
det,2015/06/16/cinmlb-detmlb-1,2,7,1,0,0,8,3,0,1,0,1,5,0,6,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cin,2015/06/16/cinmlb-detmlb-1,5,9,1,0,3,19,2,0,1,0,1,2,1,4,1,2,Detroit Noojies (aka dbags),The Rube,
chn,2015/06/16/clemlb-chnmlb-1,0,4,0,0,0,4,3,0,0,0,0,6,0,7,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cle,2015/06/16/clemlb-chnmlb-1,6,9,2,0,1,14,8,3,0,0,0,0,1,9,0,0,Dr. Watson,Detroit Noojies (aka dbags),
hou,2015/06/16/colmlb-houmlb-1,8,11,0,0,3,20,4,2,0,0,0,5,0,13,1,2,Portlandia Misfits,Paly Players,
col,2015/06/16/colmlb-houmlb-1,5,9,3,1,1,17,4,2,0,0,0,8,0,10,0,0,Portlandia Misfits,,
mil,2015/06/16/kcamlb-milmlb-1,2,9,1,0,1,13,0,1,1,0,1,7,0,3,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
kca,2015/06/16/kcamlb-milmlb-1,7,17,1,1,2,26,0,0,0,0,0,2,1,4,0,0,Paly Players,Paly Players,
tex,2015/06/16/lanmlb-texmlb-1,3,9,1,0,1,13,3,0,0,0,0,2,1,2,0,0,Damnedest of the Nice,Paly Players,
lan,2015/06/16/lanmlb-texmlb-1,2,7,0,0,1,10,2,0,0,0,0,3,1,4,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
sln,2015/06/16/minmlb-slnmlb-1,3,6,3,0,0,9,4,0,1,1,2,2,1,6,1,3,Paly Players,No-Talent Ass Clowns,
min,2015/06/16/minmlb-slnmlb-1,2,7,3,0,0,10,2,2,0,0,0,3,1,4,0,0,Buena Vista Bottoms,,
mia,2015/06/16/nyamlb-miamlb-1,12,16,1,1,1,22,3,0,1,0,1,2,1,6,0,0,The Rube,Buena Vista Bottoms,
nya,2015/06/16/nyamlb-miamlb-1,2,7,2,0,0,9,2,0,0,0,0,12,0,7,0,0,,Portlandia Misfits,
sdn,2015/06/16/oakmlb-sdnmlb-1,5,9,0,0,2,15,1,1,0,0,0,6,0,5,0,0,No-Talent Ass Clowns,Dr. Watson,
oak,2015/06/16/oakmlb-sdnmlb-1,6,8,2,1,1,15,6,2,0,0,0,5,0,12,1,2,The Rube,Buena Vista Bottoms,
bal,2015/06/16/phimlb-balmlb-1,19,17,2,0,8,43,8,0,0,1,1,3,1,5,0,0,Damnedest of the Nice,,
phi,2015/06/16/phimlb-balmlb-1,3,6,1,0,1,10,3,1,0,0,0,19,0,7,0,0,,,
sfn,2015/06/16/seamlb-sfnmlb-1,6,9,2,0,1,14,4,0,0,0,0,2,0,4,0,3,Portlandia Misfits,Portlandia Misfits,
sea,2015/06/16/seamlb-sfnmlb-1,2,5,0,0,1,8,4,2,0,0,0,6,1,6,0,0,,The Rube,
nyn,2015/06/16/tormlb-nynmlb-1,3,9,2,0,0,11,0,1,0,1,1,2,1,8,1,1,,Dr. Watson,
tor,2015/06/16/tormlb-nynmlb-1,2,7,1,1,0,10,2,0,0,1,1,3,0,4,0,0,Buena Vista Bottoms,,
tba,2015/06/16/wasmlb-tbamlb-1,4,8,1,0,1,12,2,0,0,0,0,16,0,3,0,0,Dr. Watson,Damnedest of the Nice,
was,2015/06/16/wasmlb-tbamlb-1,16,23,3,0,4,38,5,0,0,2,2,4,1,7,0,0,The Rube,Detroit Noojies (aka dbags),
ari,2015/06/17/anamlb-arimlb-1,3,10,1,1,2,19,2,2,1,0,1,2,1,4,1,3,No-Talent Ass Clowns,Dr. Watson,
ana,2015/06/17/anamlb-arimlb-1,2,11,2,1,0,15,1,0,0,0,0,3,0,12,0,0,,No-Talent Ass Clowns,
phi,2015/06/17/balmlb-phimlb-1,4,9,1,1,1,15,1,2,0,0,0,6,0,9,0,0,,,
bal,2015/06/17/balmlb-phimlb-1,6,8,2,0,2,16,1,0,0,0,0,4,1,9,1,2,Damnedest of the Nice,,
atl,2015/06/17/bosmlb-atlmlb-1,5,10,2,0,0,12,6,1,1,0,1,2,1,8,1,1,Damnedest of the Nice,Damnedest of the Nice,
bos,2015/06/17/bosmlb-atlmlb-1,2,8,0,0,1,11,2,0,1,0,1,5,0,6,0,1,Dr. Watson,,
cle,2015/06/17/chnmlb-clemlb-1,0,4,0,0,0,4,2,0,0,0,0,17,0,6,0,0,Dr. Watson,Detroit Noojies (aka dbags),
chn,2015/06/17/chnmlb-clemlb-1,17,18,2,1,4,34,5,0,0,0,0,0,1,6,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/17/detmlb-cinmlb-1,8,16,3,1,2,27,4,0,2,0,2,4,0,13,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/17/detmlb-cinmlb-1,4,6,2,0,2,14,3,1,0,0,0,8,0,14,0,0,Buena Vista Bottoms,Damnedest of the Nice,
col,2015/06/17/houmlb-colmlb-1,4,9,3,0,1,15,0,0,0,1,1,8,0,5,0,0,Portlandia Misfits,,
hou,2015/06/17/houmlb-colmlb-1,8,13,3,0,4,28,4,1,2,0,2,4,1,7,0,3,Portlandia Misfits,Paly Players,
nya,2015/06/17/miamlb-nyamlb-1,2,7,1,0,0,8,5,1,0,0,0,1,1,12,1,2,,Portlandia Misfits,
mia,2015/06/17/miamlb-nyamlb-1,1,3,0,0,1,6,4,0,0,0,0,2,1,4,0,0,The Rube,Buena Vista Bottoms,
kca,2015/06/17/milmlb-kcamlb-1,10,12,1,2,0,17,5,0,0,2,2,2,0,6,0,0,Paly Players,Paly Players,
mil,2015/06/17/milmlb-kcamlb-1,2,6,1,2,0,11,1,0,0,0,0,10,0,3,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
tor,2015/06/17/nynmlb-tormlb-1,8,10,1,0,2,17,8,0,0,0,0,0,0,8,0,3,Buena Vista Bottoms,,
nyn,2015/06/17/nynmlb-tormlb-1,0,6,3,0,0,9,1,1,0,0,0,8,1,7,0,0,,Dr. Watson,
cha,2015/06/17/pitmlb-chamlb-1,2,4,1,0,0,5,2,0,0,0,0,3,1,5,0,0,,No-Talent Ass Clowns,
pit,2015/06/17/pitmlb-chamlb-1,3,5,1,0,1,9,0,0,1,0,1,2,1,10,1,2,Paly Players,The Rube,
oak,2015/06/17/sdnmlb-oakmlb-1,16,20,4,1,1,29,3,0,0,2,2,2,1,13,0,0,The Rube,Buena Vista Bottoms,
sdn,2015/06/17/sdnmlb-oakmlb-1,2,5,0,0,2,11,1,0,0,0,0,16,0,4,0,0,No-Talent Ass Clowns,Dr. Watson,
sea,2015/06/17/sfnmlb-seamlb-1,2,4,1,1,0,7,1,0,0,0,0,0,1,7,1,1,,The Rube,
sfn,2015/06/17/sfnmlb-seamlb-1,0,4,0,0,0,4,2,0,0,0,0,2,1,9,0,0,Portlandia Misfits,Portlandia Misfits,
min,2015/06/17/slnmlb-minmlb-1,3,7,3,1,0,12,3,0,0,1,1,1,1,8,1,1,Buena Vista Bottoms,,
sln,2015/06/17/slnmlb-minmlb-1,1,8,2,0,0,10,0,2,0,0,0,3,1,8,0,0,Paly Players,No-Talent Ass Clowns,
was,2015/06/17/tbamlb-wasmlb-1,0,2,0,0,0,2,2,0,0,0,0,5,1,11,0,0,The Rube,Detroit Noojies (aka dbags),
tba,2015/06/17/tbamlb-wasmlb-1,5,12,0,0,2,18,1,0,0,0,0,0,0,3,0,1,Dr. Watson,Damnedest of the Nice,
lan,2015/06/17/texmlb-lanmlb-1,3,9,4,0,1,16,5,0,1,0,1,5,1,14,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
tex,2015/06/17/texmlb-lanmlb-1,5,8,1,0,2,15,1,2,0,0,0,3,0,5,1,2,Damnedest of the Nice,Paly Players,
ari,2015/06/18/anamlb-arimlb-1,1,8,3,0,0,11,0,0,0,0,0,7,0,6,0,0,No-Talent Ass Clowns,Dr. Watson,
ana,2015/06/18/anamlb-arimlb-1,7,8,2,1,2,18,7,0,0,0,0,1,1,11,0,0,,No-Talent Ass Clowns,
phi,2015/06/18/balmlb-phimlb-1,2,5,0,0,1,8,2,1,1,0,1,1,0,11,1,2,,,
bal,2015/06/18/balmlb-phimlb-1,1,6,1,0,1,10,2,1,0,0,0,2,1,4,0,0,Damnedest of the Nice,,
atl,2015/06/18/bosmlb-atlmlb-1,2,6,1,0,0,7,2,0,0,0,0,5,0,8,0,0,Damnedest of the Nice,Damnedest of the Nice,
bos,2015/06/18/bosmlb-atlmlb-1,5,9,2,1,0,13,3,1,0,0,0,2,1,7,1,1,Dr. Watson,,
cle,2015/06/18/chnmlb-clemlb-1,4,8,2,0,0,10,3,1,0,1,1,3,0,13,1,1,Dr. Watson,Detroit Noojies (aka dbags),
chn,2015/06/18/chnmlb-clemlb-1,3,7,0,0,1,10,2,0,0,0,0,4,0,11,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
cin,2015/06/18/detmlb-cinmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Detroit Noojies (aka dbags),The Rube,
det,2015/06/18/detmlb-cinmlb-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Buena Vista Bottoms,Damnedest of the Nice,
col,2015/06/18/houmlb-colmlb-1,4,7,2,0,1,12,6,0,1,0,1,8,0,17,0,0,Portlandia Misfits,,
hou,2015/06/18/houmlb-colmlb-1,8,13,4,0,2,23,2,3,1,0,1,4,1,11,0,1,Portlandia Misfits,Paly Players,
nya,2015/06/18/miamlb-nyamlb-1,9,15,4,0,2,25,6,0,0,1,1,4,1,12,0,1,,Portlandia Misfits,
mia,2015/06/18/miamlb-nyamlb-1,4,10,0,1,1,15,0,0,0,1,1,9,0,8,0,0,The Rube,Buena Vista Bottoms,
kca,2015/06/18/milmlb-kcamlb-1,3,13,2,0,0,15,2,2,0,1,1,2,1,7,1,2,Paly Players,Paly Players,
mil,2015/06/18/milmlb-kcamlb-1,2,8,1,0,0,9,1,1,0,1,1,3,0,4,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
tor,2015/06/18/nynmlb-tormlb-1,7,10,2,0,1,15,2,1,0,0,0,1,1,9,0,0,Buena Vista Bottoms,,
nyn,2015/06/18/nynmlb-tormlb-1,1,3,1,0,1,7,5,0,0,0,0,7,0,10,0,0,,Dr. Watson,
cha,2015/06/18/pitmlb-chamlb-1,2,3,1,0,1,7,3,1,1,1,2,3,1,8,0,0,,No-Talent Ass Clowns,
pit,2015/06/18/pitmlb-chamlb-1,3,13,0,0,0,13,2,0,0,1,1,2,1,6,1,1,Paly Players,The Rube,
oak,2015/06/18/sdnmlb-oakmlb-1,1,5,3,0,1,11,1,0,0,0,0,3,1,8,0,0,The Rube,Buena Vista Bottoms,
sdn,2015/06/18/sdnmlb-oakmlb-1,3,7,1,1,2,16,2,2,0,1,1,1,1,7,1,2,No-Talent Ass Clowns,Dr. Watson,
sea,2015/06/18/sfnmlb-seamlb-1,0,5,0,0,0,5,4,0,0,0,0,7,0,2,0,0,,The Rube,
