team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
sfn,2015/06/24/sdnmlb-sfnmlb-1,6,6,1,1,1,12,4,0,2,1,3,0,1,7,0,0,Portlandia Misfits,Portlandia Misfits,
sdn,2015/06/24/sdnmlb-sfnmlb-1,0,5,2,0,0,7,2,1,0,0,0,6,1,9,0,0,No-Talent Ass Clowns,Dr. Watson,
mia,2015/06/24/slnmlb-miamlb-1,1,7,0,0,1,10,0,1,0,0,0,6,0,4,0,0,The Rube,Buena Vista Bottoms,
sln,2015/06/24/slnmlb-miamlb-1,6,7,0,0,2,13,2,0,0,0,0,1,1,5,0,0,Paly Players,No-Talent Ass Clowns,
tba,2015/06/24/tormlb-tbamlb-1,0,4,1,0,0,5,3,0,0,0,0,1,1,13,0,0,Dr. Watson,Damnedest of the Nice,
tor,2015/06/24/tormlb-tbamlb-1,1,6,0,0,1,9,4,4,0,0,0,0,1,15,1,0,Buena Vista Bottoms,,
col,2015/06/25/arimlb-colmlb-1,6,7,0,0,2,13,6,2,1,0,1,4,0,7,1,0,Portlandia Misfits,,
ari,2015/06/25/arimlb-colmlb-1,4,9,2,0,0,11,5,2,0,1,1,6,1,5,0,0,No-Talent Ass Clowns,Dr. Watson,
was,2015/06/25/atlmlb-wasmlb-1,7,12,3,0,1,18,2,0,1,0,1,0,1,6,0,0,The Rube,Detroit Noojies (aka dbags),
atl,2015/06/25/atlmlb-wasmlb-1,0,6,1,0,0,7,1,0,1,0,1,7,0,3,0,0,Damnedest of the Nice,Damnedest of the Nice,
bos,2015/06/25/balmlb-bosmlb-1,6,12,3,0,1,18,0,0,0,0,0,8,0,9,0,0,Dr. Watson,,
bal,2015/06/25/balmlb-bosmlb-1,8,14,6,0,1,23,2,1,1,1,2,6,0,7,1,2,Damnedest of the Nice,,
det,2015/06/25/chamlb-detmlb-1,7,16,2,1,2,26,5,0,0,1,1,8,0,9,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cha,2015/06/25/chamlb-detmlb-1,8,10,3,1,1,18,5,0,1,0,1,7,0,12,1,1,,No-Talent Ass Clowns,
pit,2015/06/25/cinmlb-pitmlb-1,4,11,2,0,0,13,6,0,2,0,2,5,1,12,0,0,Paly Players,The Rube,
cin,2015/06/25/cinmlb-pitmlb-1,5,17,0,1,2,25,3,2,0,0,0,4,1,6,0,0,Detroit Noojies (aka dbags),The Rube,
chn,2015/06/25/lanmlb-chnmlb-1,0,8,3,0,0,11,3,0,0,0,0,4,0,9,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
lan,2015/06/25/lanmlb-chnmlb-1,4,6,1,2,0,11,6,0,0,0,0,0,0,8,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
hou,2015/06/25/nyamlb-houmlb-1,4,7,4,0,0,11,3,2,0,1,1,0,1,12,0,0,Portlandia Misfits,Paly Players,
nya,2015/06/25/nyamlb-houmlb-1,0,6,0,0,0,6,1,0,0,0,0,4,0,6,0,0,,Portlandia Misfits,
mil,2015/06/25/nynmlb-milmlb-1,0,4,1,0,0,5,0,0,0,0,0,2,0,10,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
nyn,2015/06/25/nynmlb-milmlb-1,2,10,1,0,0,11,2,0,0,0,0,0,1,8,1,0,,Dr. Watson,
tex,2015/06/25/oakmlb-texmlb-1,3,10,3,0,1,16,1,0,0,0,0,6,1,4,0,0,Damnedest of the Nice,Paly Players,
oak,2015/06/25/oakmlb-texmlb-1,6,10,0,0,0,10,4,0,0,1,1,3,1,8,1,2,The Rube,Buena Vista Bottoms,
sfn,2015/06/25/sdnmlb-sfnmlb-1,13,19,4,4,0,31,2,1,0,1,1,8,1,8,0,1,Portlandia Misfits,Portlandia Misfits,
sdn,2015/06/25/sdnmlb-sfnmlb-1,8,12,2,1,1,19,2,0,0,0,0,13,0,13,0,0,No-Talent Ass Clowns,Dr. Watson,
mia,2015/06/25/slnmlb-miamlb-1,1,4,0,0,1,7,4,0,1,0,1,5,0,9,0,0,The Rube,Buena Vista Bottoms,
sln,2015/06/25/slnmlb-miamlb-1,5,10,1,0,0,11,3,1,1,1,2,1,1,7,0,0,Paly Players,No-Talent Ass Clowns,
sdn,2015/06/26/arimlb-sdnmlb-1,4,8,3,0,0,11,0,2,2,1,3,2,1,8,1,2,No-Talent Ass Clowns,Dr. Watson,
ari,2015/06/26/arimlb-sdnmlb-1,2,2,0,0,0,2,6,2,0,0,0,4,1,7,0,0,No-Talent Ass Clowns,Dr. Watson,
pit,2015/06/26/atlmlb-pitmlb-1,3,11,3,0,0,14,4,1,0,0,0,2,1,4,0,0,Paly Players,The Rube,
atl,2015/06/26/atlmlb-pitmlb-1,2,6,0,0,1,9,4,0,0,0,0,3,0,7,0,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/26/bosmlb-tbamlb-1,3,12,3,0,0,15,2,0,0,1,1,4,1,7,0,0,Dr. Watson,Damnedest of the Nice,
bos,2015/06/26/bosmlb-tbamlb-1,4,10,2,0,0,12,5,2,0,1,1,3,1,10,1,0,Dr. Watson,,
det,2015/06/26/chamlb-detmlb-1,5,14,3,1,2,25,0,0,0,0,0,4,0,9,1,0,Buena Vista Bottoms,Damnedest of the Nice,
cha,2015/06/26/chamlb-detmlb-1,4,8,2,1,3,21,2,1,0,0,0,5,1,5,0,0,,No-Talent Ass Clowns,
sln,2015/06/26/chnmlb-slnmlb-1,3,6,2,1,1,13,4,0,0,0,0,2,1,8,0,0,Paly Players,No-Talent Ass Clowns,
chn,2015/06/26/chnmlb-slnmlb-1,2,12,2,0,0,14,3,0,1,1,2,3,1,9,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
nyn,2015/06/26/cinmlb-nynmlb-1,2,2,0,1,1,7,3,1,0,0,0,1,1,5,1,0,,Dr. Watson,
cin,2015/06/26/cinmlb-nynmlb-1,1,5,0,0,0,5,0,2,0,0,0,2,1,8,0,0,Detroit Noojies (aka dbags),The Rube,
bal,2015/06/26/clemlb-balmlb-1,4,10,3,0,1,16,2,0,0,1,1,3,1,9,1,1,Damnedest of the Nice,,
cle,2015/06/26/clemlb-balmlb-1,3,10,0,0,3,19,3,0,0,0,0,4,1,10,0,0,Dr. Watson,Detroit Noojies (aka dbags),
sfn,2015/06/26/colmlb-sfnmlb-1,6,9,1,0,1,13,5,0,0,0,0,8,0,6,0,0,Portlandia Misfits,Portlandia Misfits,
col,2015/06/26/colmlb-sfnmlb-1,8,17,1,1,2,26,2,0,0,0,0,6,1,7,0,3,Portlandia Misfits,,
oak,2015/06/26/kcamlb-oakmlb-1,2,4,2,0,0,6,1,0,0,0,0,5,1,7,0,0,The Rube,Buena Vista Bottoms,
kca,2015/06/26/kcamlb-oakmlb-1,5,11,1,0,2,18,4,1,0,0,0,2,1,5,1,0,Paly Players,Paly Players,
mia,2015/06/26/lanmlb-miamlb-1,1,6,0,0,0,6,1,1,0,0,0,7,0,6,0,0,The Rube,Buena Vista Bottoms,
lan,2015/06/26/lanmlb-miamlb-1,7,13,1,0,1,17,4,0,0,0,0,1,1,16,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
mil,2015/06/26/minmlb-milmlb-1,10,12,2,0,3,23,3,2,1,0,1,4,0,4,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
min,2015/06/26/minmlb-milmlb-1,4,7,0,0,2,13,1,1,0,0,0,10,0,6,0,0,Buena Vista Bottoms,,
hou,2015/06/26/nyamlb-houmlb-1,2,5,1,0,0,6,3,2,0,0,0,3,1,4,0,0,Portlandia Misfits,Paly Players,
nya,2015/06/26/nyamlb-houmlb-1,3,9,1,0,1,13,3,0,0,0,0,2,1,11,1,2,,Portlandia Misfits,
ana,2015/06/26/seamlb-anamlb-1,1,9,1,0,1,13,1,0,1,0,1,3,1,3,0,0,,No-Talent Ass Clowns,
sea,2015/06/26/seamlb-anamlb-1,3,9,4,0,1,16,3,0,1,0,1,1,1,9,1,2,,The Rube,
tor,2015/06/26/texmlb-tormlb-1,12,13,2,0,4,27,6,0,0,1,1,2,1,7,0,0,Buena Vista Bottoms,,
tex,2015/06/26/texmlb-tormlb-1,2,7,2,0,1,12,2,0,0,0,0,12,0,3,0,0,Damnedest of the Nice,Paly Players,
phi,2015/06/26/wasmlb-phimlb-1,2,7,3,0,1,13,0,0,0,0,0,5,0,10,0,0,,,
was,2015/06/26/wasmlb-phimlb-1,5,9,1,0,1,13,2,1,1,1,2,2,1,7,1,0,The Rube,Detroit Noojies (aka dbags),
sdn,2015/06/27/arimlb-sdnmlb-1,7,15,5,0,1,23,1,0,0,0,0,2,1,8,0,0,No-Talent Ass Clowns,Dr. Watson,
ari,2015/06/27/arimlb-sdnmlb-1,2,8,3,0,0,11,0,0,0,0,0,7,0,8,0,0,No-Talent Ass Clowns,Dr. Watson,
pit,2015/06/27/atlmlb-pitmlb-1,8,13,2,0,0,15,1,2,1,0,1,4,0,8,0,2,Paly Players,The Rube,
atl,2015/06/27/atlmlb-pitmlb-1,4,11,4,0,0,15,0,0,0,0,0,8,0,7,0,0,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/27/bosmlb-tbamlb-1,4,7,2,1,3,20,3,2,0,0,0,1,1,9,1,2,Dr. Watson,Damnedest of the Nice,
bos,2015/06/27/bosmlb-tbamlb-1,1,3,0,0,1,6,0,0,0,0,0,4,1,12,0,0,Dr. Watson,,
sln,2015/06/27/chnmlb-slnmlb-1,8,13,4,0,0,17,6,0,1,0,1,1,1,8,1,0,Paly Players,No-Talent Ass Clowns,
chn,2015/06/27/chnmlb-slnmlb-1,1,7,2,0,0,9,4,0,0,0,0,8,0,4,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
nyn,2015/06/27/cinmlb-nynmlb-1,2,11,3,0,1,17,8,0,0,0,0,1,1,7,0,0,,Dr. Watson,
cin,2015/06/27/cinmlb-nynmlb-1,1,10,2,0,0,12,4,0,1,0,1,2,0,8,0,0,Detroit Noojies (aka dbags),The Rube,
sfn,2015/06/27/colmlb-sfnmlb-1,7,12,4,0,1,19,3,0,0,0,0,5,0,2,1,1,Portlandia Misfits,Portlandia Misfits,
col,2015/06/27/colmlb-sfnmlb-1,5,8,4,0,0,12,5,2,0,1,1,7,1,5,0,0,Portlandia Misfits,,
oak,2015/06/27/kcamlb-oakmlb-1,2,4,3,0,0,7,4,2,0,0,0,3,1,7,0,0,The Rube,Buena Vista Bottoms,
kca,2015/06/27/kcamlb-oakmlb-1,3,8,2,0,0,10,2,2,0,1,1,2,1,7,1,2,Paly Players,Paly Players,
mia,2015/06/27/lanmlb-miamlb-1,3,8,2,0,0,10,0,1,1,0,1,2,1,9,1,1,The Rube,Buena Vista Bottoms,
lan,2015/06/27/lanmlb-miamlb-1,2,6,0,0,1,9,0,0,0,0,0,3,1,12,0,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
mil,2015/06/27/minmlb-milmlb-1,2,7,1,0,0,8,1,0,0,0,0,5,0,4,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
min,2015/06/27/minmlb-milmlb-1,5,7,1,0,3,17,4,1,0,0,0,2,1,4,1,2,Buena Vista Bottoms,,
hou,2015/06/27/nyamlb-houmlb-1,6,10,4,0,3,23,4,0,0,0,0,9,0,4,0,0,Portlandia Misfits,Paly Players,
nya,2015/06/27/nyamlb-houmlb-1,9,10,3,0,3,22,7,1,1,0,1,6,0,12,1,1,,Portlandia Misfits,
ana,2015/06/27/seamlb-anamlb-1,4,6,2,0,1,11,3,0,0,0,0,2,1,7,1,1,,No-Talent Ass Clowns,
sea,2015/06/27/seamlb-anamlb-1,2,8,1,0,1,12,2,0,0,0,0,4,0,8,0,0,,The Rube,
tor,2015/06/27/texmlb-tormlb-1,0,3,0,0,0,3,2,0,0,0,0,4,0,12,0,0,Buena Vista Bottoms,,
tex,2015/06/27/texmlb-tormlb-1,4,11,0,0,3,20,0,1,0,1,1,0,1,4,0,0,Damnedest of the Nice,Paly Players,
phi,2015/06/27/wasmlb-phimlb-1,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,,,
was,2015/06/27/wasmlb-phimlb-1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,The Rube,Detroit Noojies (aka dbags),
sdn,2015/06/28/arimlb-sdnmlb-1,4,5,1,0,3,15,2,0,1,0,1,6,0,8,0,0,No-Talent Ass Clowns,Dr. Watson,
ari,2015/06/28/arimlb-sdnmlb-1,6,6,0,0,3,15,0,1,0,0,0,4,0,3,1,1,No-Talent Ass Clowns,Dr. Watson,
pit,2015/06/28/atlmlb-pitmlb-1,1,6,2,0,0,8,1,1,1,0,1,2,0,7,0,0,Paly Players,The Rube,
atl,2015/06/28/atlmlb-pitmlb-1,2,8,0,0,1,11,4,0,1,0,1,1,1,10,1,1,Damnedest of the Nice,Damnedest of the Nice,
tba,2015/06/28/bosmlb-tbamlb-1,3,10,3,0,0,13,1,0,0,0,0,5,0,11,0,0,Dr. Watson,Damnedest of the Nice,
bos,2015/06/28/bosmlb-tbamlb-1,5,8,2,0,3,19,2,0,0,1,1,3,0,12,1,1,Dr. Watson,,
det,2015/06/28/chamlb-detmlb-1,5,6,1,0,1,10,3,0,0,0,0,4,0,8,0,0,Buena Vista Bottoms,Damnedest of the Nice,
cha,2015/06/28/chamlb-detmlb-1,4,8,1,1,1,14,0,0,0,2,2,5,0,6,0,0,,No-Talent Ass Clowns,
sln,2015/06/28/chnmlb-slnmlb-1,4,8,6,0,0,14,1,1,0,0,0,1,1,9,1,2,Paly Players,No-Talent Ass Clowns,
chn,2015/06/28/chnmlb-slnmlb-1,1,6,3,0,0,9,3,0,0,1,1,4,0,12,0,0,Detroit Noojies (aka dbags),Portlandia Misfits,
nyn,2015/06/28/cinmlb-nynmlb-1,7,8,2,0,0,10,5,1,0,0,0,2,1,7,0,0,,Dr. Watson,
cin,2015/06/28/cinmlb-nynmlb-1,2,6,0,0,2,12,3,0,1,0,1,7,0,3,0,0,Detroit Noojies (aka dbags),The Rube,
bal,2015/06/28/clemlb-balmlb-1,4,6,3,0,2,15,2,0,0,0,0,0,1,8,0,0,Damnedest of the Nice,,
cle,2015/06/28/clemlb-balmlb-1,0,4,0,0,0,4,2,0,0,0,0,4,0,5,0,0,Dr. Watson,Detroit Noojies (aka dbags),
bal,2015/06/28/clemlb-balmlb-2,8,8,3,0,3,20,4,0,0,0,0,0,1,7,0,0,Damnedest of the Nice,,
cle,2015/06/28/clemlb-balmlb-2,0,8,2,0,0,10,0,0,0,0,0,8,0,12,0,0,Dr. Watson,Detroit Noojies (aka dbags),
sfn,2015/06/28/colmlb-sfnmlb-1,6,10,2,1,3,23,0,0,0,0,0,3,1,8,0,1,Portlandia Misfits,Portlandia Misfits,
col,2015/06/28/colmlb-sfnmlb-1,3,7,0,0,2,13,2,0,0,0,0,6,0,6,0,0,Portlandia Misfits,,
oak,2015/06/28/kcamlb-oakmlb-1,3,11,3,0,0,14,1,0,0,2,2,5,0,7,0,0,The Rube,Buena Vista Bottoms,
kca,2015/06/28/kcamlb-oakmlb-1,5,8,1,0,1,12,2,0,0,1,1,3,1,10,1,2,Paly Players,Paly Players,
mia,2015/06/28/lanmlb-miamlb-1,0,5,2,0,0,7,1,0,0,0,0,2,0,9,0,0,The Rube,Buena Vista Bottoms,
lan,2015/06/28/lanmlb-miamlb-1,2,7,1,0,0,8,8,0,1,0,1,0,1,8,1,1,Detroit Noojies (aka dbags),Buena Vista Bottoms,
mil,2015/06/28/minmlb-milmlb-1,5,8,2,0,2,16,4,2,1,0,1,3,1,7,0,0,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
min,2015/06/28/minmlb-milmlb-1,3,7,0,0,1,10,5,1,0,1,1,5,1,8,0,0,Buena Vista Bottoms,,
hou,2015/06/28/nyamlb-houmlb-1,3,7,3,1,0,12,0,0,1,1,2,1,1,8,1,0,Portlandia Misfits,Paly Players,
nya,2015/06/28/nyamlb-houmlb-1,1,2,0,0,0,2,2,0,0,0,0,3,1,8,0,0,,Portlandia Misfits,
ana,2015/06/28/seamlb-anamlb-1,3,7,1,0,0,8,5,0,2,0,2,2,1,7,0,0,,No-Talent Ass Clowns,
sea,2015/06/28/seamlb-anamlb-1,2,5,1,0,1,9,2,0,0,0,0,3,1,9,0,1,,The Rube,
tor,2015/06/28/texmlb-tormlb-1,3,4,1,0,1,8,4,0,0,0,0,2,0,13,1,3,Buena Vista Bottoms,,
tex,2015/06/28/texmlb-tormlb-1,2,9,2,0,0,11,4,3,0,0,0,3,1,5,0,0,Damnedest of the Nice,Paly Players,
phi,2015/06/28/wasmlb-phimlb-1,2,5,0,0,1,8,1,2,0,0,0,3,0,8,0,0,,,
was,2015/06/28/wasmlb-phimlb-1,3,9,3,0,0,12,6,0,1,1,2,2,1,11,1,2,The Rube,Detroit Noojies (aka dbags),
phi,2015/06/28/wasmlb-phimlb-2,8,16,1,0,0,17,1,1,1,1,2,5,0,10,1,1,,,
was,2015/06/28/wasmlb-phimlb-2,5,10,2,0,2,18,2,0,1,0,1,8,0,2,0,0,The Rube,Detroit Noojies (aka dbags),
tor,2015/06/29/bosmlb-tormlb-1,1,5,2,0,0,7,0,0,0,0,0,3,1,5,0,0,Buena Vista Bottoms,,
bos,2015/06/29/bosmlb-tormlb-1,3,7,1,2,0,12,3,0,0,0,0,1,1,5,1,0,Dr. Watson,,
tba,2015/06/29/clemlb-tbamlb-1,1,3,1,0,1,7,0,0,0,0,0,7,1,12,0,0,Dr. Watson,Damnedest of the Nice,
cle,2015/06/29/clemlb-tbamlb-1,7,13,3,0,1,19,4,1,1,0,1,1,1,3,0,0,Dr. Watson,Detroit Noojies (aka dbags),
oak,2015/06/29/colmlb-oakmlb-1,7,11,2,1,3,24,2,0,0,0,0,1,1,6,0,0,The Rube,Buena Vista Bottoms,
col,2015/06/29/colmlb-oakmlb-1,1,7,0,0,1,10,4,0,0,0,0,7,0,3,0,0,Portlandia Misfits,,
hou,2015/06/29/kcamlb-houmlb-1,6,7,1,0,2,14,7,0,0,1,1,1,1,6,0,0,Portlandia Misfits,Paly Players,
kca,2015/06/29/kcamlb-houmlb-1,1,5,1,0,1,9,4,0,0,0,0,6,0,8,0,0,Paly Players,Paly Players,
ari,2015/06/29/lanmlb-arimlb-1,10,12,1,1,2,21,5,6,2,0,2,6,0,8,0,0,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/29/lanmlb-arimlb-1,6,10,1,0,3,20,7,0,0,0,0,10,0,8,0,1,Detroit Noojies (aka dbags),Buena Vista Bottoms,
phi,2015/06/29/milmlb-phimlb-1,4,9,4,0,0,13,2,1,0,0,0,7,0,5,0,0,,,
mil,2015/06/29/milmlb-phimlb-1,7,16,5,0,0,21,2,0,1,1,2,4,0,7,1,4,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
cin,2015/06/29/minmlb-cinmlb-1,11,17,4,0,0,21,6,6,1,1,2,7,0,10,0,1,Detroit Noojies (aka dbags),The Rube,
min,2015/06/29/minmlb-cinmlb-1,7,9,3,0,1,15,3,2,1,0,1,11,0,6,0,0,Buena Vista Bottoms,,
ana,2015/06/29/nyamlb-anamlb-1,4,6,2,0,2,14,2,1,0,0,0,1,1,6,1,2,,No-Talent Ass Clowns,
nya,2015/06/29/nyamlb-anamlb-1,1,8,2,0,0,10,4,0,0,0,0,4,0,6,0,0,,Portlandia Misfits,
bal,2015/06/29/texmlb-balmlb-1,1,9,2,0,0,11,3,0,0,0,0,8,0,8,0,0,Damnedest of the Nice,,
tex,2015/06/29/texmlb-balmlb-1,8,14,1,1,4,29,2,0,0,0,0,1,0,14,0,0,Damnedest of the Nice,Paly Players,
tor,2015/06/30/bosmlb-tormlb-1,3,6,2,0,1,11,2,0,0,0,0,4,0,3,0,0,Buena Vista Bottoms,,
bos,2015/06/30/bosmlb-tormlb-1,4,7,1,0,2,14,5,0,0,0,0,3,1,5,1,2,Dr. Watson,,
sln,2015/06/30/chamlb-slnmlb-1,1,8,1,0,1,12,2,0,1,0,1,2,1,14,0,0,Paly Players,No-Talent Ass Clowns,
cha,2015/06/30/chamlb-slnmlb-1,2,9,0,0,1,12,2,0,0,0,0,1,1,14,1,0,,No-Talent Ass Clowns,
nyn,2015/06/30/chnmlb-nynmlb-1,0,3,1,0,0,4,1,0,0,0,0,1,1,8,0,0,,Dr. Watson,
chn,2015/06/30/chnmlb-nynmlb-1,1,4,1,0,0,5,5,0,0,0,0,0,1,9,1,2,Detroit Noojies (aka dbags),Portlandia Misfits,
tba,2015/06/30/clemlb-tbamlb-1,2,2,2,0,0,4,2,0,0,0,0,6,0,11,0,0,Dr. Watson,Damnedest of the Nice,
cle,2015/06/30/clemlb-tbamlb-1,6,7,1,0,3,17,3,1,0,0,0,2,1,4,0,0,Dr. Watson,Detroit Noojies (aka dbags),
oak,2015/06/30/colmlb-oakmlb-1,1,6,2,0,0,8,4,1,0,0,0,2,0,10,0,0,The Rube,Buena Vista Bottoms,
col,2015/06/30/colmlb-oakmlb-1,2,7,0,0,0,7,0,0,0,0,0,1,1,6,1,1,Portlandia Misfits,,
hou,2015/06/30/kcamlb-houmlb-1,4,6,1,1,1,12,2,0,0,0,0,0,1,8,0,0,Portlandia Misfits,Paly Players,
kca,2015/06/30/kcamlb-houmlb-1,0,8,3,0,0,11,0,0,0,0,0,4,0,6,0,0,Paly Players,Paly Players,
ari,2015/06/30/lanmlb-arimlb-1,4,10,1,0,1,14,5,0,0,1,1,6,0,13,0,1,No-Talent Ass Clowns,Dr. Watson,
lan,2015/06/30/lanmlb-arimlb-1,6,11,3,0,2,20,3,0,0,0,0,4,0,6,1,0,Detroit Noojies (aka dbags),Buena Vista Bottoms,
phi,2015/06/30/milmlb-phimlb-1,3,8,0,0,1,11,4,4,1,0,1,4,1,9,0,0,,,
mil,2015/06/30/milmlb-phimlb-1,4,10,1,1,0,13,3,1,1,0,1,3,1,8,1,2,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
cin,2015/06/30/minmlb-cinmlb-1,5,11,1,0,2,18,2,0,0,0,0,8,0,11,0,0,Detroit Noojies (aka dbags),The Rube,
min,2015/06/30/minmlb-cinmlb-1,8,15,3,0,1,21,4,2,0,1,1,5,0,5,1,1,Buena Vista Bottoms,,
ana,2015/06/30/nyamlb-anamlb-1,2,9,2,0,2,17,3,0,1,0,1,1,1,9,1,1,,No-Talent Ass Clowns,
nya,2015/06/30/nyamlb-anamlb-1,1,2,0,0,1,5,2,0,0,0,0,2,0,9,0,0,,Portlandia Misfits,
det,2015/06/30/pitmlb-detmlb-1,4,17,3,0,1,23,1,1,0,0,0,5,1,15,0,0,Buena Vista Bottoms,Damnedest of the Nice,
pit,2015/06/30/pitmlb-detmlb-1,5,14,3,1,0,19,8,1,1,2,3,4,1,16,0,1,Paly Players,The Rube,
sdn,2015/06/30/seamlb-sdnmlb-1,0,1,1,0,0,2,4,0,0,0,0,5,0,8,0,0,No-Talent Ass Clowns,Dr. Watson,
sea,2015/06/30/seamlb-sdnmlb-1,5,7,0,1,2,15,1,0,0,0,0,0,1,7,0,0,,The Rube,
mia,2015/06/30/sfnmlb-miamlb-1,5,9,1,0,2,16,4,1,2,1,3,3,1,10,1,3,The Rube,Buena Vista Bottoms,
sfn,2015/06/30/sfnmlb-miamlb-1,3,6,1,0,1,10,2,0,1,0,1,5,0,4,0,0,Portlandia Misfits,Portlandia Misfits,
bal,2015/06/30/texmlb-balmlb-1,6,7,0,0,3,16,1,1,0,0,0,8,0,4,0,0,Damnedest of the Nice,,
tex,2015/06/30/texmlb-balmlb-1,8,12,1,0,4,25,4,0,0,0,0,6,1,6,1,2,Damnedest of the Nice,Paly Players,
atl,2015/06/30/wasmlb-atlmlb-1,1,8,1,0,1,12,0,0,0,0,0,6,0,15,0,0,Damnedest of the Nice,Damnedest of the Nice,
was,2015/06/30/wasmlb-atlmlb-1,6,11,3,0,1,17,4,1,1,0,1,1,1,7,0,0,The Rube,Detroit Noojies (aka dbags),
